lst,epoch,total_staked,daily_stake,daily_unstake,daily_net,tvl_sol
jito,749,14583209.5071654,-1193210.12179332,784942.905046419,-408267.216746904,14583867.8873588
mSOL Liquid,749,4920010.59938042,-110515.965434749,71167.543392228,-39348.422042521,4920451.86277807
mSOL Native,749,4523271.96180475,-61150.884760787,180811.05529228,119660.170531493,4535970.76513799
jSOL,749,1080664.59247487,-243809.427074147,118166.329829016,-125643.097245131,1080707.69916394
bSOL,749,1074899.96566866,-53887.193688246,182238.611038063,128351.417349817,1074940.33199174
mrgnLST,749,189798.757574848,-655.991464454,73.192010973,-582.799453481,189805.728989009
stSOL,749,40873.231055617,-120.885530324,12.095133793,-108.790396531,41262.153598724
scnSOL,749,3.41982249,0.0,0.001374675,0.001374675,37.759217692
jito,748,15571590.6520072,-771546.608246279,491039.894363289,-280506.71388299,15572334.1862295
mSOL Liquid,748,4980327.06689324,-15462.133633772,69489.994800628,54027.861166856,4980854.58887534
mSOL Native,748,4569703.47123317,-18788.875574552,248491.747991782,229702.87241723,4582588.6317092
jSOL,748,1210225.17648518,-103815.934594039,114875.303414866,11059.368820827,1210270.57927079
bSOL,748,1046597.2923282,-101274.324031446,114827.321806055,13552.997774609,1046649.01894336
mrgnLST,748,190381.561408406,-0.997909848,142.858978836,141.861068988,190389.733968114
stSOL,748,40982.021452148,0.0,15.984106028,15.984106028,41369.811596181
scnSOL,748,3.418447815,0.0,0.001363287,0.001363287,37.757833456
jito,747,14890359.1032239,-243084.125760701,98886.025260446,-144198.100500255,14890362.5599827
mSOL Liquid,747,4951090.81176405,-79224.755952375,129599.502052277,50374.746099902,4951561.86546987
mSOL Native,747,4429059.27748248,-41826.471580282,128756.219597116,86929.748016834,4441618.31685541
jSOL,747,1079565.65740526,-496.087018887,18561.985421192,18065.898402305,1079620.98382543
bSOL,747,1033044.33991507,-76427.998798272,20001.675524604,-56426.323273668,1033092.9348194
mrgnLST,747,190239.732167814,-11732.697361642,21.461418929,-11711.235942713,190248.334199648
stSOL,747,40966.03734612,-28.44281891,14.530486792,-13.912332118,41352.209510892
scnSOL,747,3.417084528,0.0,0.001358949,0.001358949,37.756459131
jito,746,15126765.1444018,-160177.253887478,146189.078657287,-13988.175230191,15126769.6801983
mSOL Liquid,746,4939260.22923852,-19077.374400159,132578.456609885,113501.082209726,4939706.48993473
mSOL Native,746,4426420.22916492,-43137.948341622,114007.52503619,70869.576694568,4438793.64485603
bSOL,746,1092559.25287139,-45272.84715809,55093.184316757,9820.337158667,1092624.12022336
jSOL,746,1078946.25356647,-2696.829700483,40301.735384978,37604.905684495,1079007.99006411
mrgnLST,746,201950.98566494,0.0,81.044364171,81.044364171,201953.29257386
stSOL,746,40979.949678238,0.0,16.042036117,16.042036117,41364.546354078
scnSOL,746,3.415725579,0.0,0.001367709,0.001367709,37.755090235
jito,745,15089731.1475203,-149422.939798143,60095.51394564,-89327.425852503,15090894.1956473
mSOL Liquid,745,4940862.49884793,-46435.070605545,109674.838612663,63239.768007118,4941273.57315312
mSOL Native,745,4401454.05580559,-48060.024151446,139964.905744257,91904.881592811,4413735.22424616
bSOL,745,1096606.32339725,-47388.488055476,43154.381580283,-4234.106475193,1096681.35449153
jSOL,745,1057120.69722229,-24960.963775043,76907.936975193,51946.97320015,1057187.89455424
mrgnLST,745,201869.968674278,0.0,82.755330241,82.755330241,201880.980146368
stSOL,745,40963.907642121,0.0,15.830276642,15.830276642,41346.49012276
scnSOL,745,3.41435787,0.0,0.001343535,0.001343535,37.75370818
jito,744,15129464.8425523,-365267.884010073,9991.746387211,-355276.137622862,15129468.6596184
mSOL Liquid,744,4995324.89509469,-76215.810357505,94668.996674631,18453.186317126,4995714.44074342
mSOL Native,744,4403909.73909619,-17551.320587291,139692.234627742,122140.914040451,4416250.44276541
bSOL,744,1100840.44061715,-29058.660262133,28916.038888039,-142.621374094,1100843.69600403
jSOL,744,1021246.17471238,-7.79e-07,234833.670828132,234833.670827353,1021296.12716034
mrgnLST,744,201787.220181446,-5128.857501656,122.980060447,-5005.877441209,201798.712286539
stSOL,744,40948.077365479,-13.423013233,14.500565453,1.07755222,41328.849850057
scnSOL,744,3.413014335,0.0,0.001340322,0.001340322,37.752350057
jito,743,15484740.9865614,-41918.624859434,92915.806073838,50997.181214404,15484767.5051649
mSOL Liquid,743,5000327.37381807,-97698.227289663,195011.560349915,97313.333060252,5000831.36321621
mSOL Native,743,4390211.34910002,-66112.518808768,179457.355404039,113344.836595271,4402616.24175377
bSOL,743,1100983.0662724,-65075.919118042,33985.474181544,-31090.444936498,1101076.19567454
jSOL,743,820529.205322076,-3262.48702982,48877.673977035,45615.186947215,820605.692792981
mrgnLST,743,206793.100905668,-11742.284888931,8.667771474,-11733.617117457,206819.291306449
stSOL,743,40946.999813259,0.0,15.842548471,15.842548471,41325.492763714
scnSOL,743,3.411674013,0.0,0.001346343,0.001346343,37.750996246
jito,742,15486414.5347941,-87613.93711988,217470.261206464,129856.324086584,15488158.6677399
mSOL Liquid,742,4906442.16573446,-5537.483532906,36625.913192813,31088.429659907,4907071.33629789
mSOL Native,742,4428321.10425647,-50251.828414915,216032.91023362,165781.081818705,4440806.35248306
bSOL,742,1153653.32164948,-7046.217460168,64563.658177646,57517.440717478,1153770.39147971
